Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,E0,19/08/95,Aston Villa,Man United,3,1,H,3,0,H,,,,,,,,,,,
3,E0,19/08/95,Blackburn,QPR,1,0,H,1,0,H,,,,,,,,,,,
4,E0,19/08/95,Chelsea,Everton,0,0,D,0,0,D,,,,,,,,,,,
5,E0,19/08/95,Liverpool,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,
6,E0,19/08/95,Man City,Tottenham,1,1,D,0,1,A,,,,,,,,,,,
7,E0,19/08/95,Newcastle,Coventry,3,0,H,1,0,H,,,,,,,,,,,
8,E0,19/08/95,Southampton,Nott'm Forest,3,4,A,1,3,A,,,,,,,,,,,
9,E0,19/08/95,West Ham,Leeds,1,2,A,1,0,H,,,,,,,,,,,
10,E0,19/08/95,Wimbledon,Bolton,3,2,H,2,2,D,,,,,,,,,,,
11,E0,20/08/95,Arsenal,Middlesbrough,1,1,D,1,1,D,,,,,,,,,,,
12,E0,21/08/95,Leeds,Liverpool,1,0,H,0,0,D,,,,,,,,,,,
13,E0,22/08/95,Bolton,Newcastle,1,3,A,0,1,A,,,,,,,,,,,
14,E0,23/08/95,Coventry,Man City,2,1,H,1,0,H,,,,,,,,,,,
15,E0,23/08/95,Everton,Arsenal,0,2,A,0,0,D,,,,,,,,,,,
16,E0,23/08/95,Man United,West Ham,2,1,H,0,0,D,,,,,,,,,,,
17,E0,23/08/95,Nott'm Forest,Chelsea,0,0,D,0,0,D,,,,,,,,,,,
18,E0,23/08/95,QPR,Wimbledon,0,3,A,0,1,A,,,,,,,,,,,
19,E0,23/08/95,Sheffield Weds,Blackburn,2,1,H,1,0,H,,,,,,,,,,,
20,E0,23/08/95,Tottenham,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,
21,E0,26/08/95,Bolton,Blackburn,2,1,H,1,0,H,,,,,,,,,,,
22,E0,26/08/95,Coventry,Arsenal,0,0,D,0,0,D,,,,,,,,,,,
23,E0,26/08/95,Everton,Southampton,2,0,H,2,0,H,,,,,,,,,,,
24,E0,26/08/95,Leeds,Aston Villa,2,0,H,1,0,H,,,,,,,,,,,
25,E0,26/08/95,Man United,Wimbledon,3,1,H,1,0,H,,,,,,,,,,,
26,E0,26/08/95,Middlesbrough,Chelsea,2,0,H,1,0,H,,,,,,,,,,,
27,E0,26/08/95,Nott'm Forest,West Ham,1,1,D,1,1,D,,,,,,,,,,,
28,E0,26/08/95,QPR,Man City,1,0,H,1,0,H,,,,,,,,,,,
29,E0,26/08/95,Tottenham,Liverpool,1,3,A,0,2,A,,,,,,,,,,,
30,E0,27/08/95,Sheffield Weds,Newcastle,0,2,A,0,0,D,,,,,,,,,,,
31,E0,28/08/95,Blackburn,Man United,1,2,A,0,0,D,,,,,,,,,,,
32,E0,29/08/95,Arsenal,Nott'm Forest,1,1,D,1,0,H,,,,,,,,,,,
33,E0,30/08/95,Aston Villa,Bolton,1,0,H,0,0,D,,,,,,,,,,,
34,E0,30/08/95,Chelsea,Coventry,2,2,D,2,1,H,,,,,,,,,,,
35,E0,30/08/95,Liverpool,QPR,1,0,H,1,0,H,,,,,,,,,,,
36,E0,30/08/95,Man City,Everton,0,2,A,0,0,D,,,,,,,,,,,
37,E0,30/08/95,Newcastle,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,
38,E0,30/08/95,Southampton,Leeds,1,1,D,0,0,D,,,,,,,,,,,
39,E0,30/08/95,West Ham,Tottenham,1,1,D,1,0,H,,,,,,,,,,,
40,E0,30/08/95,Wimbledon,Sheffield Weds,2,2,D,1,1,D,,,,,,,,,,,
41,E0,09/09/95,Blackburn,Aston Villa,1,1,D,0,1,A,,,,,,,,,,,
42,E0,09/09/95,Bolton,Middlesbrough,1,1,D,1,0,H,,,,,,,,,,,
43,E0,09/09/95,Coventry,Nott'm Forest,1,1,D,1,1,D,,,,,,,,,,,
44,E0,09/09/95,Everton,Man United,2,3,A,1,1,D,,,,,,,,,,,
45,E0,09/09/95,QPR,Sheffield Weds,0,3,A,0,0,D,,,,,,,,,,,
46,E0,09/09/95,Southampton,Newcastle,1,0,H,0,0,D,,,,,,,,,,,
47,E0,09/09/95,Tottenham,Leeds,2,1,H,1,0,H,,,,,,,,,,,
48,E0,09/09/95,Wimbledon,Liverpool,1,0,H,1,0,H,,,,,,,,,,,
49,E0,10/09/95,Man City,Arsenal,0,1,A,0,0,D,,,,,,,,,,,
50,E0,11/09/95,West Ham,Chelsea,1,3,A,0,2,A,,,,,,,,,,,
51,E0,12/09/95,Middlesbrough,Southampton,0,0,D,0,0,D,,,,,,,,,,,
52,E0,16/09/95,Arsenal,West Ham,1,0,H,0,0,D,,,,,,,,,,,
53,E0,16/09/95,Aston Villa,Wimbledon,2,0,H,1,0,H,,,,,,,,,,,
54,E0,16/09/95,Chelsea,Southampton,3,0,H,0,0,D,,,,,,,,,,,
55,E0,16/09/95,Leeds,QPR,1,3,A,0,2,A,,,,,,,,,,,
56,E0,16/09/95,Liverpool,Blackburn,3,0,H,3,0,H,,,,,,,,,,,
57,E0,16/09/95,Man United,Bolton,3,0,H,2,0,H,,,,,,,,,,,
58,E0,16/09/95,Middlesbrough,Coventry,2,1,H,0,0,D,,,,,,,,,,,
59,E0,16/09/95,Newcastle,Man City,3,1,H,2,0,H,,,,,,,,,,,
60,E0,16/09/95,Sheffield Weds,Tottenham,1,3,A,1,1,D,,,,,,,,,,,
61,E0,17/09/95,Nott'm Forest,Everton,3,2,H,2,0,H,,,,,,,,,,,
62,E0,23/09/95,Arsenal,Southampton,4,2,H,2,2,D,,,,,,,,,,,
63,E0,23/09/95,Aston Villa,Nott'm Forest,1,1,D,0,0,D,,,,,,,,,,,
64,E0,23/09/95,Blackburn,Coventry,5,1,H,2,1,H,,,,,,,,,,,
65,E0,23/09/95,Liverpool,Bolton,5,2,H,2,0,H,,,,,,,,,,,
66,E0,23/09/95,Man City,Middlesbrough,0,1,A,0,1,A,,,,,,,,,,,
67,E0,23/09/95,Sheffield Weds,Man United,0,0,D,0,0,D,,,,,,,,,,,
68,E0,23/09/95,West Ham,Everton,2,1,H,2,1,H,,,,,,,,,,,
69,E0,23/09/95,Wimbledon,Leeds,2,4,A,1,3,A,,,,,,,,,,,
70,E0,24/09/95,Newcastle,Chelsea,2,0,H,1,0,H,,,,,,,,,,,
71,E0,25/09/95,QPR,Tottenham,2,3,A,1,0,H,,,,,,,,,,,
