Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E2,09/08/97,Blackpool,Luton,1,0,H,,,,,,,,,,,,,,,,,,,,,
3,E2,09/08/97,Bristol Rvs,Plymouth,1,1,D,,,,,,,,,,,,,,,,,,,,,
4,E2,09/08/97,Chesterfield,Walsall,3,1,H,,,,,,,,,,,,,,,,,,,,,
5,E2,09/08/97,Fulham,Wrexham,1,0,H,,,,,,,,,,,,,,,,,,,,,
6,E2,09/08/97,Gillingham,Preston,0,0,D,,,,,,,,,,,,,,,,,,,,,
7,E2,09/08/97,Grimsby,Bristol City,1,1,D,,,,,,,,,,,,,,,,,,,,,
8,E2,09/08/97,Millwall,Brentford,3,0,H,,,,,,,,,,,,,,,,,,,,,
9,E2,09/08/97,Northampton,Bournemouth,0,2,A,,,,,,,,,,,,,,,,,,,,,
10,E2,09/08/97,Oldham,York,3,1,H,,,,,,,,,,,,,,,,,,,,,
11,E2,09/08/97,Southend,Carlisle,1,1,D,,,,,,,,,,,,,,,,,,,,,
12,E2,09/08/97,Watford,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
13,E2,09/08/97,Wigan,Wycombe,5,2,H,,,,,,,,,,,,,,,,,,,,,
14,E2,16/08/97,Bournemouth,Wigan,1,0,H,,,,,,,,,,,,,,,,,,,,,
15,E2,16/08/97,Brentford,Chesterfield,0,0,D,,,,,,,,,,,,,,,,,,,,,
16,E2,16/08/97,Bristol City,Blackpool,2,0,H,,,,,,,,,,,,,,,,,,,,,
17,E2,16/08/97,Burnley,Gillingham,0,0,D,,,,,,,,,,,,,,,,,,,,,
18,E2,16/08/97,Carlisle,Watford,0,2,A,,,,,,,,,,,,,,,,,,,,,
19,E2,16/08/97,Plymouth,Grimsby,2,2,D,,,,,,,,,,,,,,,,,,,,,
20,E2,16/08/97,Preston,Millwall,2,1,H,,,,,,,,,,,,,,,,,,,,,
21,E2,16/08/97,Walsall,Fulham,1,1,D,,,,,,,,,,,,,,,,,,,,,
22,E2,16/08/97,Wrexham,Oldham,3,1,H,,,,,,,,,,,,,,,,,,,,,
23,E2,16/08/97,Wycombe,Northampton,0,0,D,,,,,,,,,,,,,,,,,,,,,
24,E2,16/08/97,York,Bristol Rvs,0,1,A,,,,,,,,,,,,,,,,,,,,,
25,E2,18/08/97,Luton,Southend,1,0,H,,,,,,,,,,,,,,,,,,,,,
26,E2,23/08/97,Blackpool,Wycombe,2,4,A,,,,,,,,,,,,,,,,,,,,,
27,E2,23/08/97,Bristol Rvs,Carlisle,3,1,H,,,,,,,,,,,,,,,,,,,,,
28,E2,23/08/97,Chesterfield,Preston,3,2,H,,,,,,,,,,,,,,,,,,,,,
29,E2,23/08/97,Fulham,Luton,0,0,D,,,,,,,,,,,,,,,,,,,,,
30,E2,23/08/97,Gillingham,Walsall,2,1,H,,,,,,,,,,,,,,,,,,,,,
31,E2,23/08/97,Grimsby,Wrexham,0,0,D,,,,,,,,,,,,,,,,,,,,,
32,E2,23/08/97,Millwall,York,2,3,A,,,,,,,,,,,,,,,,,,,,,
33,E2,23/08/97,Northampton,Bristol City,2,1,H,,,,,,,,,,,,,,,,,,,,,
34,E2,23/08/97,Oldham,Bournemouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
35,E2,23/08/97,Southend,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
36,E2,23/08/97,Watford,Brentford,3,1,H,,,,,,,,,,,,,,,,,,,,,
37,E2,23/08/97,Wigan,Plymouth,1,1,D,,,,,,,,,,,,,,,,,,,,,
38,E2,30/08/97,Bournemouth,Blackpool,2,0,H,,,,,,,,,,,,,,,,,,,,,
39,E2,30/08/97,Brentford,Grimsby,3,1,H,,,,,,,,,,,,,,,,,,,,,
40,E2,30/08/97,Bristol City,Wigan,3,0,H,,,,,,,,,,,,,,,,,,,,,
41,E2,30/08/97,Burnley,Bristol Rvs,0,0,D,,,,,,,,,,,,,,,,,,,,,
42,E2,30/08/97,Carlisle,Northampton,0,2,A,,,,,,,,,,,,,,,,,,,,,
43,E2,30/08/97,Luton,Oldham,1,1,D,,,,,,,,,,,,,,,,,,,,,
44,E2,30/08/97,Plymouth,Chesterfield,1,1,D,,,,,,,,,,,,,,,,,,,,,
45,E2,30/08/97,Preston,Watford,2,0,H,,,,,,,,,,,,,,,,,,,,,
46,E2,30/08/97,Walsall,Southend,3,1,H,,,,,,,,,,,,,,,,,,,,,
47,E2,30/08/97,Wycombe,Fulham,2,0,H,,,,,,,,,,,,,,,,,,,,,
48,E2,30/08/97,York,Gillingham,2,1,H,,,,,,,,,,,,,,,,,,,,,
49,E2,02/09/97,Bournemouth,Bristol Rvs,1,1,D,,,,,,,,,,,,,,,,,,,,,
50,E2,02/09/97,Brentford,Gillingham,2,0,H,,,,,,,,,,,,,,,,,,,,,
51,E2,02/09/97,Bristol City,Fulham,0,2,A,,,,,,,,,,,,,,,,,,,,,
52,E2,02/09/97,Burnley,Oldham,0,0,D,,,,,,,,,,,,,,,,,,,,,
53,E2,02/09/97,Carlisle,Wigan,1,0,H,,,,,,,,,,,,,,,,,,,,,
54,E2,02/09/97,Luton,Millwall,0,2,A,,,,,,,,,,,,,,,,,,,,,
55,E2,02/09/97,Plymouth,Watford,0,1,A,,,,,,,,,,,,,,,,,,,,,
56,E2,02/09/97,Preston,Grimsby,2,0,H,,,,,,,,,,,,,,,,,,,,,
57,E2,02/09/97,Walsall,Northampton,0,2,A,,,,,,,,,,,,,,,,,,,,,
58,E2,02/09/97,Wrexham,Blackpool,3,4,A,,,,,,,,,,,,,,,,,,,,,
59,E2,02/09/97,Wycombe,Southend,4,1,H,,,,,,,,,,,,,,,,,,,,,
60,E2,02/09/97,York,Chesterfield,0,1,A,,,,,,,,,,,,,,,,,,,,,
61,E2,05/09/97,Gillingham,Bournemouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
62,E2,05/09/97,Southend,Brentford,3,1,H,,,,,,,,,,,,,,,,,,,,,
63,E2,07/09/97,Blackpool,Carlisle,2,1,H,,,,,,,,,,,,,,,,,,,,,
64,E2,07/09/97,Chesterfield,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
65,E2,07/09/97,Watford,Wycombe,2,1,H,,,,,,,,,,,,,,,,,,,,,
66,E2,08/09/97,Wigan,Wrexham,3,2,H,,,,,,,,,,,,,,,,,,,,,
67,E2,09/09/97,Bristol Rvs,Walsall,2,0,H,,,,,,,,,,,,,,,,,,,,,
68,E2,09/09/97,Fulham,Plymouth,2,0,H,,,,,,,,,,,,,,,,,,,,,
69,E2,09/09/97,Grimsby,York,0,0,D,,,,,,,,,,,,,,,,,,,,,
70,E2,09/09/97,Northampton,Luton,1,0,H,,,,,,,,,,,,,,,,,,,,,
71,E2,09/09/97,Oldham,Preston,1,0,H,,,,,,,,,,,,,,,,,,,,,
72,E2,13/09/97,Bournemouth,Luton,1,1,D,,,,,,,,,,,,,,,,,,,,,
