Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
2,F2,28/07/00,Wasquehal,Nancy,0,1,A,0,1,A,,,,,,
3,F2,29/07/00,Ajaccio,Le Mans,1,0,H,1,0,H,,,,,,
4,F2,29/07/00,Beauvais,Montpellier,1,3,A,0,1,A,,,,,,
5,F2,29/07/00,Caen,Cannes,2,2,D,1,2,A,,,,,,
6,F2,29/07/00,Chateauroux,Martigues,1,1,D,0,1,A,,,,,,
7,F2,29/07/00,Creteil,Lorient,2,1,H,1,0,H,,,,,,
8,F2,29/07/00,Laval,Gueugnon,2,1,H,2,0,H,,,,,,
9,F2,29/07/00,Nice,Le Havre,0,0,D,0,0,D,,,,,,
10,F2,29/07/00,Nimes,Sochaux,3,3,D,3,1,H,,,,,,
11,F2,29/07/00,Niort,Angers,3,2,H,3,0,H,,,,,,
12,F2,04/08/00,Lorient,Nimes,1,1,D,0,0,D,,,,,,
13,F2,05/08/00,Angers,Ajaccio,1,1,D,0,0,D,,,,,,
14,F2,05/08/00,Cannes,Niort,6,4,H,2,1,H,,,,,,
15,F2,05/08/00,Gueugnon,Nice,1,2,A,0,2,A,,,,,,
16,F2,05/08/00,Le Havre,Beauvais,1,0,H,1,0,H,,,,,,
17,F2,05/08/00,Le Mans,Martigues,2,2,D,1,1,D,,,,,,
18,F2,05/08/00,Montpellier,Caen,2,0,H,0,0,D,,,,,,
19,F2,05/08/00,Sochaux,Chateauroux,5,0,H,2,0,H,,,,,,
20,F2,05/08/00,Wasquehal,Creteil,1,1,D,1,1,D,,,,,,
21,F2,06/08/00,Nancy,Laval,1,0,H,0,0,D,,,,,,
22,F2,12/08/00,Ajaccio,Cannes,3,3,D,2,1,H,,,,2,2.6,3.3
23,F2,12/08/00,Beauvais,Gueugnon,0,0,D,0,0,D,,,,2.4,2.6,2.7
24,F2,12/08/00,Caen,Sochaux,1,3,A,0,1,A,,,,2.3,2.6,2.8
25,F2,12/08/00,Chateauroux,Le Mans,0,0,D,0,0,D,,,,2,2.6,3.3
26,F2,12/08/00,Creteil,Nancy,1,0,H,0,0,D,,,,2.8,2.6,2.3
27,F2,12/08/00,Laval,Wasquehal,1,0,H,1,0,H,,,,1.7,2.8,4.2
28,F2,12/08/00,Nice,Lorient,1,1,D,1,1,D,,,,1.85,2.7,3.6
29,F2,12/08/00,Nimes,Montpellier,0,2,A,0,1,A,,,,2.9,2.7,2.2
30,F2,12/08/00,Niort,Le Havre,1,1,D,1,0,H,,,,2.8,2.6,2.3
31,F2,13/08/00,Martigues,Angers,1,1,D,0,1,A,,,,1.8,2.7,3.8
32,F2,18/08/00,Nancy,Beauvais,3,1,H,2,1,H,,,,1.45,3.2,5.5
