Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA
2,F2,28/07/01,Ajaccio,Nancy,4,2,H,1,1,D,2.22,2.8,3.05,2.1,2.8,3,,,
3,F2,28/07/01,Amiens,Beauvais,0,1,A,0,0,D,2.07,2.8,3.4,2.1,2.9,2.9,,,
4,F2,28/07/01,Grenoble,Caen,4,3,H,1,2,A,2.08,2.85,3.3,2,2.9,3,,,
5,F2,28/07/01,Gueugnon,Nimes,4,3,H,3,1,H,1.95,2.9,3.6,1.9,2.7,3.5,,,
6,F2,28/07/01,Le Mans,Creteil,0,1,A,0,1,A,1.87,2.9,3.9,1.8,2.7,3.9,,,
7,F2,28/07/01,Nice,Laval,2,1,H,1,1,D,2.15,2.8,3.2,2.2,2.9,2.7,,,
8,F2,28/07/01,St Etienne,Istres,1,2,A,0,1,A,1.4,3.65,6.7,1.45,3.5,5,,,
9,F2,28/07/01,Wasquehal,Chateauroux,0,2,A,0,1,A,2.2,2.85,3.05,2.2,2.8,3,,,
10,F2,29/07/01,Le Havre,Strasbourg,1,1,D,0,1,A,2.4,2.85,2.75,,,,,,
11,F2,29/07/01,Martigues,Niort,1,1,D,1,1,D,2.5,2.8,2.65,2.5,2.7,2.5,,,
12,F2,04/08/01,Beauvais,Gueugnon,0,1,A,0,0,D,,,,2.2,2.8,2.8,,,
13,F2,04/08/01,Caen,Wasquehal,1,0,H,0,0,D,,,,1.85,2.8,3.5,,,
14,F2,04/08/01,Chateauroux,Ajaccio,0,2,A,0,1,A,,,,1.7,2.9,4,,,
15,F2,04/08/01,Grenoble,Le Mans,1,1,D,1,0,H,,,,1.85,2.8,3.5,,,
16,F2,04/08/01,Laval,Istres,2,0,H,0,0,D,,,,1.75,3.2,3.4,,,
17,F2,04/08/01,Nancy,Amiens,1,1,D,1,1,D,,,,1.6,3.2,4.2,,,
18,F2,04/08/01,Nimes,Martigues,0,0,D,0,0,D,,,,1.7,2.9,4,,,
19,F2,04/08/01,Niort,Le Havre,2,2,D,0,2,A,,,,1.8,2.9,3.6,,,
20,F2,04/08/01,Strasbourg,Nice,3,0,H,2,0,H,,,,1.45,3.5,5,,,
21,F2,05/08/01,Creteil,St Etienne,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,
22,F2,10/08/01,Le Havre,Nancy,0,0,D,0,0,D,,,,2,2.8,3.1,,,
23,F2,11/08/01,Ajaccio,Caen,1,1,D,0,1,A,,,,1.65,3,4.2,,,
24,F2,11/08/01,Amiens,Grenoble,3,0,H,2,0,H,,,,2.1,2.8,3,,,
25,F2,11/08/01,Gueugnon,Chateauroux,2,0,H,1,0,H,,,,1.85,2.8,3.5,,,
26,F2,11/08/01,Istres,Strasbourg,0,1,A,0,0,D,,,,2.6,2.7,2.4,,,
27,F2,11/08/01,Laval,Niort,1,3,A,1,2,A,,,,2,2.8,3.1,,,
28,F2,11/08/01,Martigues,Beauvais,0,2,A,0,1,A,,,,2.1,2.7,3.1,,,
