Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,F1,23/07/93,Nantes,Monaco,1,0,H,,,,,,,,,,,,,,,,,,,,,
3,F1,24/07/93,Bordeaux,Paris SG,1,0,H,,,,,,,,,,,,,,,,,,,,,
4,F1,24/07/93,Caen,Metz,1,1,D,,,,,,,,,,,,,,,,,,,,,
5,F1,24/07/93,Lille,Martigues,1,1,D,,,,,,,,,,,,,,,,,,,,,
6,F1,24/07/93,Marseille,Lens,1,0,H,,,,,,,,,,,,,,,,,,,,,
7,F1,24/07/93,Montpellier,Lyon,1,1,D,,,,,,,,,,,,,,,,,,,,,
8,F1,24/07/93,Sochaux,Angers,4,1,H,,,,,,,,,,,,,,,,,,,,,
9,F1,24/07/93,St Etienne,Cannes,1,2,A,,,,,,,,,,,,,,,,,,,,,
10,F1,24/07/93,Strasbourg,Auxerre,1,1,D,,,,,,,,,,,,,,,,,,,,,
11,F1,24/07/93,Toulouse,Le Havre,0,0,D,,,,,,,,,,,,,,,,,,,,,
12,F1,31/07/93,Auxerre,Montpellier,3,1,H,,,,,,,,,,,,,,,,,,,,,
13,F1,31/07/93,Le Havre,Bordeaux,0,3,A,,,,,,,,,,,,,,,,,,,,,
14,F1,31/07/93,Lens,Strasbourg,0,0,D,,,,,,,,,,,,,,,,,,,,,
15,F1,31/07/93,Lyon,Caen,2,0,H,,,,,,,,,,,,,,,,,,,,,
16,F1,31/07/93,Martigues,Sochaux,1,1,D,,,,,,,,,,,,,,,,,,,,,
17,F1,31/07/93,Metz,Angers,2,0,H,,,,,,,,,,,,,,,,,,,,,
18,F1,31/07/93,Monaco,Toulouse,3,0,H,,,,,,,,,,,,,,,,,,,,,
19,F1,31/07/93,Nantes,St Etienne,1,0,H,,,,,,,,,,,,,,,,,,,,,
20,F1,31/07/93,Paris SG,Lille,2,1,H,,,,,,,,,,,,,,,,,,,,,
21,F1,01/08/93,Cannes,Marseille,2,1,H,,,,,,,,,,,,,,,,,,,,,
22,F1,06/08/93,Lille,Lens,0,0,D,,,,,,,,,,,,,,,,,,,,,
23,F1,07/08/93,Angers,Lyon,3,1,H,,,,,,,,,,,,,,,,,,,,,
24,F1,07/08/93,Bordeaux,Cannes,0,0,D,,,,,,,,,,,,,,,,,,,,,
25,F1,07/08/93,Caen,Auxerre,1,0,H,,,,,,,,,,,,,,,,,,,,,
26,F1,07/08/93,Marseille,Le Havre,1,1,D,,,,,,,,,,,,,,,,,,,,,
27,F1,07/08/93,Montpellier,Martigues,1,0,H,,,,,,,,,,,,,,,,,,,,,
28,F1,07/08/93,Sochaux,Metz,2,1,H,,,,,,,,,,,,,,,,,,,,,
29,F1,07/08/93,St Etienne,Monaco,2,0,H,,,,,,,,,,,,,,,,,,,,,
30,F1,07/08/93,Strasbourg,Paris SG,2,2,D,,,,,,,,,,,,,,,,,,,,,
31,F1,07/08/93,Toulouse,Nantes,0,3,A,,,,,,,,,,,,,,,,,,,,,
32,F1,10/08/93,Monaco,Bordeaux,3,2,H,,,,,,,,,,,,,,,,,,,,,
33,F1,11/08/93,Auxerre,Angers,0,0,D,,,,,,,,,,,,,,,,,,,,,
34,F1,11/08/93,Cannes,Lille,2,1,H,,,,,,,,,,,,,,,,,,,,,
35,F1,11/08/93,Le Havre,St Etienne,0,0,D,,,,,,,,,,,,,,,,,,,,,
36,F1,11/08/93,Lens,Montpellier,2,1,H,,,,,,,,,,,,,,,,,,,,,
37,F1,11/08/93,Lyon,Metz,2,0,H,,,,,,,,,,,,,,,,,,,,,
38,F1,11/08/93,Martigues,Caen,4,1,H,,,,,,,,,,,,,,,,,,,,,
39,F1,11/08/93,Nantes,Marseille,0,0,D,,,,,,,,,,,,,,,,,,,,,
40,F1,11/08/93,Paris SG,Sochaux,1,0,H,,,,,,,,,,,,,,,,,,,,,
41,F1,11/08/93,Toulouse,Strasbourg,0,0,D,,,,,,,,,,,,,,,,,,,,,
42,F1,14/08/93,Angers,Martigues,1,3,A,,,,,,,,,,,,,,,,,,,,,
43,F1,14/08/93,Bordeaux,Nantes,2,0,H,,,,,,,,,,,,,,,,,,,,,
44,F1,14/08/93,Caen,Lens,1,0,H,,,,,,,,,,,,,,,,,,,,,
45,F1,14/08/93,Lille,Le Havre,2,2,D,,,,,,,,,,,,,,,,,,,,,
46,F1,14/08/93,Metz,Auxerre,0,0,D,,,,,,,,,,,,,,,,,,,,,
47,F1,14/08/93,Montpellier,Monaco,0,3,A,,,,,,,,,,,,,,,,,,,,,
48,F1,14/08/93,Sochaux,Lyon,0,1,A,,,,,,,,,,,,,,,,,,,,,
49,F1,14/08/93,St Etienne,Toulouse,2,2,D,,,,,,,,,,,,,,,,,,,,,
50,F1,14/08/93,Strasbourg,Cannes,2,2,D,,,,,,,,,,,,,,,,,,,,,
51,F1,15/08/93,Marseille,Paris SG,1,0,H,,,,,,,,,,,,,,,,,,,,,
52,F1,27/08/93,Monaco,Marseille,0,0,D,,,,,,,,,,,,,,,,,,,,,
53,F1,28/08/93,Auxerre,Lyon,3,2,H,,,,,,,,,,,,,,,,,,,,,
54,F1,28/08/93,Cannes,Sochaux,1,1,D,,,,,,,,,,,,,,,,,,,,,
55,F1,28/08/93,Le Havre,Strasbourg,0,1,A,,,,,,,,,,,,,,,,,,,,,
