Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,F1,19/07/95,Bastia,Paris SG,2,2,D,1,2,A,,,,,,,,,,,
3,F1,19/07/95,Bordeaux,Lille,1,0,H,1,0,H,,,,,,,,,,,
4,F1,19/07/95,Cannes,Lyon,3,0,H,0,0,D,,,,,,,,,,,
5,F1,19/07/95,Gueugnon,Metz,0,0,D,0,0,D,,,,,,,,,,,
6,F1,19/07/95,Guingamp,Martigues,2,0,H,0,0,D,,,,,,,,,,,
7,F1,19/07/95,Lens,Le Havre,2,0,H,1,0,H,,,,,,,,,,,
8,F1,19/07/95,Monaco,Rennes,3,1,H,0,1,A,,,,,,,,,,,
9,F1,19/07/95,Montpellier,Strasbourg,2,2,D,1,1,D,,,,,,,,,,,
10,F1,19/07/95,Nantes,Auxerre,1,0,H,1,0,H,,,,,,,,,,,
11,F1,19/07/95,St Etienne,Nice,1,1,D,0,1,A,,,,,,,,,,,
12,F1,26/07/95,Auxerre,Gueugnon,4,0,H,1,0,H,,,,,,,,,,,
13,F1,26/07/95,Bordeaux,St Etienne,2,0,H,2,0,H,,,,,,,,,,,
14,F1,26/07/95,Lille,Bastia,0,2,A,0,1,A,,,,,,,,,,,
15,F1,26/07/95,Lyon,Montpellier,3,2,H,1,1,D,,,,,,,,,,,
16,F1,26/07/95,Martigues,Nantes,0,4,A,0,1,A,,,,,,,,,,,
17,F1,26/07/95,Metz,Lens,2,0,H,1,0,H,,,,,,,,,,,
18,F1,26/07/95,Nice,Monaco,1,2,A,1,1,D,,,,,,,,,,,
19,F1,26/07/95,Paris SG,Guingamp,1,1,D,1,0,H,,,,,,,,,,,
20,F1,26/07/95,Rennes,Cannes,3,2,H,2,2,D,,,,,,,,,,,
21,F1,26/07/95,Strasbourg,Le Havre,3,0,H,1,0,H,,,,,,,,,,,
22,F1,04/08/95,Nantes,Paris SG,1,2,A,1,1,D,,,,,,,,,,,
23,F1,05/08/95,Bastia,Bordeaux,2,0,H,1,0,H,,,,,,,,,,,
24,F1,05/08/95,Cannes,Metz,1,2,A,0,0,D,,,,,,,,,,,
25,F1,05/08/95,Gueugnon,Martigues,0,0,D,0,0,D,,,,,,,,,,,
26,F1,05/08/95,Guingamp,Nice,0,0,D,0,0,D,,,,,,,,,,,
27,F1,05/08/95,Le Havre,Lyon,2,1,H,2,0,H,,,,,,,,,,,
28,F1,05/08/95,Lens,Strasbourg,0,0,D,0,0,D,,,,,,,,,,,
29,F1,05/08/95,Monaco,Auxerre,2,2,D,2,0,H,,,,,,,,,,,
30,F1,05/08/95,Montpellier,Rennes,3,1,H,1,1,D,,,,,,,,,,,
31,F1,05/08/95,St Etienne,Lille,1,1,D,1,0,H,,,,,,,,,,,
32,F1,09/08/95,Auxerre,Lens,0,1,A,0,0,D,,,,,,,,,,,
33,F1,09/08/95,Bastia,Monaco,2,1,H,0,0,D,,,,,,,,,,,
34,F1,09/08/95,Lille,Guingamp,0,3,A,0,0,D,,,,,,,,,,,
35,F1,09/08/95,Martigues,Cannes,2,1,H,1,0,H,,,,,,,,,,,
36,F1,09/08/95,Metz,Montpellier,1,0,H,1,0,H,,,,,,,,,,,
37,F1,09/08/95,Nice,Gueugnon,3,1,H,1,1,D,,,,,,,,,,,
38,F1,09/08/95,Paris SG,St Etienne,4,0,H,2,0,H,,,,,,,,,,,
39,F1,09/08/95,Rennes,Le Havre,1,0,H,1,0,H,,,,,,,,,,,
40,F1,19/08/95,Cannes,Lille,2,1,H,1,0,H,,,,,,,,,,,
41,F1,19/08/95,Gueugnon,Paris SG,1,3,A,0,1,A,,,,,,,,,,,
42,F1,19/08/95,Guingamp,Bordeaux,1,0,H,1,0,H,,,,,,,,,,,
43,F1,19/08/95,Le Havre,Metz,0,0,D,0,0,D,,,,,,,,,,,
44,F1,19/08/95,Monaco,Martigues,0,1,A,0,0,D,,,,,,,,,,,
45,F1,19/08/95,Montpellier,Auxerre,3,1,H,3,0,H,,,,,,,,,,,
46,F1,19/08/95,Nantes,Nice,1,0,H,0,0,D,,,,,,,,,,,
47,F1,19/08/95,St Etienne,Bastia,3,0,H,1,0,H,,,,,,,,,,,
48,F1,19/08/95,Strasbourg,Rennes,3,1,H,2,0,H,,,,,,,,,,,
49,F1,20/08/95,Lens,Lyon,2,2,D,1,1,D,,,,,,,,,,,
50,F1,25/08/95,Lille,Nantes,0,0,D,0,0,D,,,,,,,,,,,
51,F1,26/08/95,Auxerre,Cannes,5,1,H,1,0,H,,,,,,,,,,,
52,F1,26/08/95,Bastia,Gueugnon,1,2,A,0,0,D,,,,,,,,,,,
53,F1,26/08/95,Bordeaux,Monaco,2,4,A,0,4,A,,,,,,,,,,,
54,F1,26/08/95,Martigues,Montpellier,0,1,A,0,0,D,,,,,,,,,,,
55,F1,26/08/95,Metz,Strasbourg,3,2,H,2,1,H,,,,,,,,,,,
56,F1,26/08/95,Nice,Lens,1,1,D,0,0,D,,,,,,,,,,,
57,F1,26/08/95,Paris SG,Le Havre,2,0,H,1,0,H,,,,,,,,,,,
58,F1,26/08/95,Rennes,Lyon,1,0,H,1,0,H,,,,,,,,,,,
59,F1,26/08/95,St Etienne,Guingamp,4,0,H,2,0,H,,,,,,,,,,,
60,F1,29/08/95,Cannes,Paris SG,0,2,A,0,0,D,,,,,,,,,,,
61,F1,29/08/95,Gueugnon,Bordeaux,2,2,D,2,1,H,,,,,,,,,,,
62,F1,29/08/95,Le Havre,Auxerre,0,4,A,0,1,A,,,,,,,,,,,
63,F1,29/08/95,Lens,Rennes,1,0,H,0,0,D,,,,,,,,,,,
64,F1,29/08/95,Lyon,Metz,1,1,D,1,0,H,,,,,,,,,,,
65,F1,29/08/95,Monaco,Lille,2,1,H,0,0,D,,,,,,,,,,,
66,F1,29/08/95,Montpellier,Nice,0,1,A,0,1,A,,,,,,,,,,,
67,F1,29/08/95,Nantes,St Etienne,2,2,D,1,0,H,,,,,,,,,,,
68,F1,29/08/95,Strasbourg,Martigues,2,0,H,0,0,D,,,,,,,,,,,
69,F1,30/08/95,Guingamp,Bastia,1,0,H,1,0,H,,,,,,,,,,,
70,F1,02/09/95,Bordeaux,Nantes,3,0,H,2,0,H,,,,,,,,,,,
71,F1,02/09/95,Lyon,Strasbourg,1,1,D,1,1,D,,,,,,,,,,,
72,F1,09/09/95,Auxerre,Strasbourg,1,0,H,0,0,D,,,,,,,,,,,
73,F1,09/09/95,Bastia,Nantes,4,1,H,2,1,H,,,,,,,,,,,
74,F1,09/09/95,Bordeaux,Cannes,2,1,H,1,0,H,,,,,,,,,,,
75,F1,09/09/95,Guingamp,Montpellier,0,0,D,0,0,D,,,,,,,,,,,
76,F1,09/09/95,Lille,Lens,1,3,A,1,2,A,,,,,,,,,,,
77,F1,09/09/95,Martigues,Lyon,1,2,A,0,2,A,,,,,,,,,,,
78,F1,09/09/95,Nice,Le Havre,1,2,A,1,0,H,,,,,,,,,,,
79,F1,09/09/95,Paris SG,Monaco,2,1,H,2,1,H,,,,,,,,,,,
80,F1,09/09/95,St Etienne,Gueugnon,2,0,H,0,0,D,,,,,,,,,,,
81,F1,10/09/95,Metz,Rennes,0,0,D,0,0,D,,,,,,,,,,,
82,F1,16/09/95,Cannes,St Etienne,2,0,H,1,0,H,,,,,,,,,,,
83,F1,16/09/95,Gueugnon,Lille,3,1,H,1,1,D,,,,,,,,,,,
84,F1,16/09/95,Lyon,Auxerre,0,1,A,0,1,A,,,,,,,,,,,
