Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,D1,19/08/94,Leverkusen,Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
3,D1,19/08/94,Schalke 04,M'gladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
4,D1,19/08/94,Stuttgart,Hamburg,2,1,H,,,,,,,,,,,,,,,,,,,,,
5,D1,20/08/94,Bayern Munich,Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
6,D1,20/08/94,Dortmund,Munich 1860,4,0,H,,,,,,,,,,,,,,,,,,,,,
7,D1,20/08/94,Dresden,Werder Bremen,1,1,D,,,,,,,,,,,,,,,,,,,,,
8,D1,20/08/94,Ein Frankfurt,FC Koln,0,0,D,,,,,,,,,,,,,,,,,,,,,
9,D1,20/08/94,Karlsruhe,Freiburg,2,0,H,,,,,,,,,,,,,,,,,,,,,
10,D1,20/08/94,Uerdingen,Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
11,D1,23/08/94,Bochum,Dresden,2,0,H,,,,,,,,,,,,,,,,,,,,,
12,D1,23/08/94,FC Koln,Dortmund,1,6,A,,,,,,,,,,,,,,,,,,,,,
13,D1,23/08/94,Freiburg,Bayern Munich,5,1,H,,,,,,,,,,,,,,,,,,,,,
14,D1,23/08/94,Kaiserslautern,Ein Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
15,D1,23/08/94,Munich 1860,Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
16,D1,24/08/94,Duisburg,Schalke 04,2,2,D,,,,,,,,,,,,,,,,,,,,,
17,D1,24/08/94,Hamburg,Uerdingen,0,0,D,,,,,,,,,,,,,,,,,,,,,
18,D1,24/08/94,M'gladbach,Karlsruhe,2,2,D,,,,,,,,,,,,,,,,,,,,,
19,D1,24/08/94,Werder Bremen,Leverkusen,3,2,H,,,,,,,,,,,,,,,,,,,,,
20,D1,26/08/94,Dortmund,Kaiserslautern,2,1,H,,,,,,,,,,,,,,,,,,,,,
21,D1,26/08/94,Dresden,Freiburg,1,3,A,,,,,,,,,,,,,,,,,,,,,
22,D1,27/08/94,Bayern Munich,M'gladbach,3,0,H,,,,,,,,,,,,,,,,,,,,,
23,D1,27/08/94,Karlsruhe,Duisburg,4,1,H,,,,,,,,,,,,,,,,,,,,,
24,D1,27/08/94,Schalke 04,Hamburg,0,1,A,,,,,,,,,,,,,,,,,,,,,
25,D1,27/08/94,Stuttgart,FC Koln,2,2,D,,,,,,,,,,,,,,,,,,,,,
26,D1,27/08/94,Uerdingen,Munich 1860,1,1,D,,,,,,,,,,,,,,,,,,,,,
