Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,D1,16/08/96,M'gladbach,Bielefeld,0,0,D,0,0,D,,,,,,,,,,,
3,D1,16/08/96,St Pauli,Bayern Munich,1,2,A,1,2,A,,,,,,,,,,,
4,D1,17/08/96,Bochum,Duisburg,1,0,H,1,0,H,,,,,,,,,,,
5,D1,17/08/96,Freiburg,Werder Bremen,3,2,H,2,0,H,,,,,,,,,,,
6,D1,17/08/96,Hansa Rostock,Karlsruhe,2,2,D,0,1,A,,,,,,,,,,,
7,D1,17/08/96,Leverkusen,Dortmund,4,2,H,2,2,D,,,,,,,,,,,
8,D1,17/08/96,Munich 1860,Hamburg,2,1,H,0,0,D,,,,,,,,,,,
9,D1,17/08/96,Stuttgart,Schalke 04,4,0,H,2,0,H,,,,,,,,,,,
10,D1,18/08/96,Dusseldorf,FC Koln,0,3,A,0,1,A,,,,,,,,,,,
11,D1,20/08/96,Bielefeld,St Pauli,1,2,A,0,1,A,,,,,,,,,,,
12,D1,20/08/96,Hamburg,Freiburg,5,1,H,4,0,H,,,,,,,,,,,
13,D1,20/08/96,Schalke 04,M'gladbach,0,0,D,0,0,D,,,,,,,,,,,
14,D1,20/08/96,Werder Bremen,Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
15,D1,21/08/96,Bayern Munich,Bochum,1,1,D,0,0,D,,,,,,,,,,,
16,D1,21/08/96,Dortmund,Dusseldorf,4,0,H,2,0,H,,,,,,,,,,,
17,D1,21/08/96,Duisburg,Leverkusen,1,3,A,0,0,D,,,,,,,,,,,
18,D1,21/08/96,FC Koln,Munich 1860,1,0,H,1,0,H,,,,,,,,,,,
19,D1,23/08/96,Hansa Rostock,Hamburg,0,1,A,0,0,D,,,,,,,,,,,
20,D1,23/08/96,St Pauli,Schalke 04,4,4,D,1,3,A,,,,,,,,,,,
21,D1,24/08/96,Bochum,Bielefeld,1,1,D,0,0,D,,,,,,,,,,,
22,D1,24/08/96,Freiburg,FC Koln,1,3,A,0,1,A,,,,,,,,,,,
23,D1,24/08/96,Leverkusen,Dusseldorf,0,1,A,0,0,D,,,,,,,,,,,
24,D1,24/08/96,M'gladbach,Karlsruhe,1,3,A,1,2,A,,,,,,,,,,,
25,D1,24/08/96,Munich 1860,Dortmund,1,3,A,1,0,H,,,,,,,,,,,
