Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
2,I2,24/08/01,Genoa,Napoli,0,2,A,0,0,D,,,,2,2.6,3.3,,,,1.9,2.65,4.3
3,I2,26/08/01,Ancona,Reggina,1,0,H,1,0,H,,,,,,,2.3,2.5,3.4,2.3,2.6,3.15
4,I2,26/08/01,Cagliari,Messina,0,0,D,0,0,D,,,,1.5,3,5.5,1.44,3.4,7,1.35,3.5,9
5,I2,26/08/01,Como,Crotone,1,1,D,0,0,D,,,,1.9,2.7,3.5,1.91,2.62,4.5,2,2.5,4.2
6,I2,26/08/01,Cosenza,Cittadella,2,1,H,0,0,D,,,,1.65,2.7,4.5,1.67,2.8,6,1.7,2.8,5.2
7,I2,26/08/01,Empoli,Palermo,5,3,H,2,0,H,,,,1.6,2.8,4.6,1.62,2.9,6,1.6,2.9,6
8,I2,26/08/01,Modena,Bari,2,0,H,1,0,H,,,,2.6,2.6,2.5,2.7,2.5,2.8,2.65,2.6,2.65
9,I2,26/08/01,Salernitana,Sampdoria,2,0,H,0,0,D,,,,2.5,2.6,2.6,2.1,2.6,3.75,2.1,2.6,3.6
10,I2,26/08/01,Ternana,Siena,3,0,H,1,0,H,,,,1.6,2.8,4.6,1.44,3.25,8,1.55,3,6.5
11,I2,26/08/01,Vicenza,Pistoiese,1,1,D,0,0,D,,,,1.4,3,7,,,,1.35,3.7,8
12,I2,02/09/01,Bari,Empoli,2,2,D,1,1,D,,,,1.9,2.5,4,1.8,2.7,5,2,2.75,3.6
13,I2,02/09/01,Cittadella,Salernitana,4,4,D,3,2,H,,,,2.5,2.5,2.7,2.4,2.62,3,2.55,2.7,2.65
14,I2,02/09/01,Crotone,Modena,1,2,A,0,0,D,,,,1.8,2.6,4.4,1.8,2.7,5,1.8,2.75,4.6
15,I2,02/09/01,Messina,Ternana,1,1,D,0,0,D,,,,2.5,2.5,2.7,2.7,2.5,2.8,2.5,2.5,3.2
