Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,I1,08/09/96,Bologna,Lazio,1,0,H,1,0,H,,,,,,,,,,,
3,I1,08/09/96,Cagliari,Atalanta,2,0,H,1,0,H,,,,,,,,,,,
4,I1,08/09/96,Fiorentina,Vicenza,2,4,A,1,2,A,,,,,,,,,,,
5,I1,08/09/96,Milan,Verona,4,1,H,0,1,A,,,,,,,,,,,
6,I1,08/09/96,Parma,Napoli,3,0,H,1,0,H,,,,,,,,,,,
7,I1,08/09/96,Perugia,Sampdoria,1,0,H,1,0,H,,,,,,,,,,,
8,I1,08/09/96,Reggiana,Juventus,1,1,D,1,1,D,,,,,,,,,,,
9,I1,08/09/96,Roma,Piacenza,3,1,H,2,0,H,,,,,,,,,,,
10,I1,08/09/96,Udinese,Inter,0,1,A,0,1,A,,,,,,,,,,,
11,I1,15/09/96,Atalanta,Fiorentina,2,2,D,0,1,A,,,,,,,,,,,
12,I1,15/09/96,Inter,Perugia,1,0,H,0,0,D,,,,,,,,,,,
13,I1,15/09/96,Juventus,Cagliari,2,1,H,1,0,H,,,,,,,,,,,
14,I1,15/09/96,Lazio,Udinese,0,1,A,0,0,D,,,,,,,,,,,
15,I1,15/09/96,Napoli,Reggiana,1,0,H,1,0,H,,,,,,,,,,,
16,I1,15/09/96,Piacenza,Parma,0,0,D,0,0,D,,,,,,,,,,,
17,I1,15/09/96,Sampdoria,Milan,2,1,H,0,1,A,,,,,,,,,,,
18,I1,15/09/96,Verona,Bologna,0,2,A,0,1,A,,,,,,,,,,,
19,I1,15/09/96,Vicenza,Roma,0,2,A,0,1,A,,,,,,,,,,,
20,I1,22/09/96,Bologna,Milan,1,2,A,0,0,D,,,,,,,,,,,
21,I1,22/09/96,Cagliari,Udinese,1,2,A,1,2,A,,,,,,,,,,,
22,I1,22/09/96,Fiorentina,Verona,2,0,H,1,0,H,,,,,,,,,,,
23,I1,22/09/96,Inter,Lazio,1,1,D,1,0,H,,,,,,,,,,,
24,I1,22/09/96,Napoli,Piacenza,1,1,D,1,0,H,,,,,,,,,,,
25,I1,22/09/96,Parma,Reggiana,3,2,H,2,1,H,,,,,,,,,,,
26,I1,22/09/96,Perugia,Juventus,1,2,A,0,0,D,,,,,,,,,,,
27,I1,22/09/96,Roma,Sampdoria,1,4,A,0,0,D,,,,,,,,,,,
28,I1,22/09/96,Vicenza,Atalanta,4,1,H,0,1,A,,,,,,,,,,,
29,I1,29/09/96,Atalanta,Inter,1,1,D,1,1,D,,,,,,,,,,,
30,I1,29/09/96,Juventus,Fiorentina,1,0,H,1,0,H,,,,,,,,,,,
31,I1,29/09/96,Lazio,Parma,2,1,H,1,0,H,,,,,,,,,,,
32,I1,29/09/96,Milan,Perugia,3,0,H,1,0,H,,,,,,,,,,,
33,I1,29/09/96,Piacenza,Vicenza,1,0,H,1,0,H,,,,,,,,,,,
34,I1,29/09/96,Reggiana,Roma,1,1,D,0,1,A,,,,,,,,,,,
35,I1,29/09/96,Sampdoria,Napoli,0,1,A,0,0,D,,,,,,,,,,,
36,I1,29/09/96,Udinese,Bologna,2,2,D,2,1,H,,,,,,,,,,,
37,I1,29/09/96,Verona,Cagliari,2,2,D,1,2,A,,,,,,,,,,,
38,I1,13/10/96,Bologna,Sampdoria,2,1,H,0,0,D,,,,,,,,,,,
39,I1,13/10/96,Cagliari,Parma,0,1,A,0,1,A,,,,,,,,,,,
40,I1,13/10/96,Fiorentina,Lazio,0,0,D,0,0,D,,,,,,,,,,,
41,I1,13/10/96,Inter,Piacenza,2,0,H,0,0,D,,,,,,,,,,,
42,I1,13/10/96,Napoli,Udinese,1,1,D,0,0,D,,,,,,,,,,,
43,I1,13/10/96,Perugia,Atalanta,3,1,H,1,1,D,,,,,,,,,,,
44,I1,13/10/96,Reggiana,Verona,2,2,D,1,1,D,,,,,,,,,,,
45,I1,13/10/96,Roma,Milan,3,0,H,2,0,H,,,,,,,,,,,
46,I1,13/10/96,Vicenza,Juventus,2,1,H,1,0,H,,,,,,,,,,,
47,I1,20/10/96,Bologna,Fiorentina,0,2,A,0,1,A,,,,,,,,,,,
48,I1,20/10/96,Juventus,Inter,2,0,H,1,0,H,,,,,,,,,,,
49,I1,20/10/96,Lazio,Cagliari,2,1,H,1,0,H,,,,,,,,,,,
50,I1,20/10/96,Milan,Napoli,3,1,H,1,0,H,,,,,,,,,,,
51,I1,20/10/96,Parma,Perugia,1,2,A,0,2,A,,,,,,,,,,,
52,I1,20/10/96,Piacenza,Reggiana,3,0,H,1,0,H,,,,,,,,,,,
53,I1,20/10/96,Sampdoria,Atalanta,2,0,H,2,0,H,,,,,,,,,,,
54,I1,20/10/96,Udinese,Vicenza,1,1,D,0,0,D,,,,,,,,,,,
55,I1,20/10/96,Verona,Roma,2,1,H,1,0,H,,,,,,,,,,,
56,I1,27/10/96,Atalanta,Lazio,2,1,H,1,0,H,,,,,,,,,,,
57,I1,27/10/96,Fiorentina,Milan,1,0,H,0,0,D,,,,,,,,,,,
58,I1,27/10/96,Inter,Parma,3,1,H,1,1,D,,,,,,,,,,,
59,I1,27/10/96,Napoli,Bologna,3,2,H,1,1,D,,,,,,,,,,,
60,I1,27/10/96,Perugia,Udinese,2,1,H,1,1,D,,,,,,,,,,,
61,I1,27/10/96,Piacenza,Verona,2,0,H,1,0,H,,,,,,,,,,,
