Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,I2,31/08/97,Ancona,Torino,1,0,H,,,,,,,,,,,,,,,,,,,,,
3,I2,31/08/97,Cagliari,Treviso,2,0,H,,,,,,,,,,,,,,,,,,,,,
4,I2,31/08/97,Chievo,Reggina,1,0,H,,,,,,,,,,,,,,,,,,,,,
5,I2,31/08/97,Lucchese,Ravenna,2,1,H,,,,,,,,,,,,,,,,,,,,,
6,I2,31/08/97,Monza,Pescara,1,1,D,,,,,,,,,,,,,,,,,,,,,
7,I2,31/08/97,Padova,C. Sangro,0,1,A,,,,,,,,,,,,,,,,,,,,,
8,I2,31/08/97,Perugia,F. Andria,4,1,H,,,,,,,,,,,,,,,,,,,,,
9,I2,31/08/97,Reggiana,Foggia,1,0,H,,,,,,,,,,,,,,,,,,,,,
10,I2,31/08/97,Salernitana,Verona,2,0,H,,,,,,,,,,,,,,,,,,,,,
11,I2,31/08/97,Venezia,Genoa,2,0,H,,,,,,,,,,,,,,,,,,,,,
12,I2,07/09/97,C. Sangro,Ancona,1,1,D,,,,,,,,,,,,,,,,,,,,,
13,I2,07/09/97,F. Andria,Chievo,1,0,H,,,,,,,,,,,,,,,,,,,,,
14,I2,07/09/97,Foggia,Venezia,1,2,A,,,,,,,,,,,,,,,,,,,,,
15,I2,07/09/97,Genoa,Lucchese,1,1,D,,,,,,,,,,,,,,,,,,,,,
16,I2,07/09/97,Pescara,Cagliari,0,1,A,,,,,,,,,,,,,,,,,,,,,
17,I2,07/09/97,Ravenna,Perugia,0,0,D,,,,,,,,,,,,,,,,,,,,,
18,I2,07/09/97,Reggina,Reggiana,1,0,H,,,,,,,,,,,,,,,,,,,,,
19,I2,07/09/97,Torino,Padova,2,1,H,,,,,,,,,,,,,,,,,,,,,
20,I2,07/09/97,Treviso,Salernitana,1,1,D,,,,,,,,,,,,,,,,,,,,,
21,I2,07/09/97,Verona,Monza,3,2,H,,,,,,,,,,,,,,,,,,,,,
22,I2,14/09/97,Ancona,Genoa,4,3,H,,,,,,,,,,,,,,,,,,,,,
23,I2,14/09/97,Cagliari,C. Sangro,1,1,D,,,,,,,,,,,,,,,,,,,,,
24,I2,14/09/97,Chievo,Salernitana,1,1,D,,,,,,,,,,,,,,,,,,,,,
25,I2,14/09/97,F. Andria,Pescara,3,0,H,,,,,,,,,,,,,,,,,,,,,
26,I2,14/09/97,Monza,Venezia,1,0,H,,,,,,,,,,,,,,,,,,,,,
27,I2,14/09/97,Padova,Verona,0,0,D,,,,,,,,,,,,,,,,,,,,,
28,I2,14/09/97,Perugia,Lucchese,1,0,H,,,,,,,,,,,,,,,,,,,,,
29,I2,14/09/97,Reggiana,Ravenna,1,1,D,,,,,,,,,,,,,,,,,,,,,
30,I2,14/09/97,Reggina,Treviso,0,0,D,,,,,,,,,,,,,,,,,,,,,
31,I2,14/09/97,Torino,Foggia,1,1,D,,,,,,,,,,,,,,,,,,,,,
32,I2,21/09/97,C. Sangro,F. Andria,3,3,D,,,,,,,,,,,,,,,,,,,,,
33,I2,21/09/97,Foggia,Reggina,3,2,H,,,,,,,,,,,,,,,,,,,,,
34,I2,21/09/97,Genoa,Chievo,0,1,A,,,,,,,,,,,,,,,,,,,,,
35,I2,21/09/97,Lucchese,Padova,2,0,H,,,,,,,,,,,,,,,,,,,,,
36,I2,21/09/97,Pescara,Torino,3,0,H,,,,,,,,,,,,,,,,,,,,,
37,I2,21/09/97,Ravenna,Ancona,2,0,H,,,,,,,,,,,,,,,,,,,,,
38,I2,21/09/97,Salernitana,Reggiana,4,0,H,,,,,,,,,,,,,,,,,,,,,
39,I2,21/09/97,Treviso,Monza,3,0,H,,,,,,,,,,,,,,,,,,,,,
40,I2,21/09/97,Venezia,Perugia,2,0,H,,,,,,,,,,,,,,,,,,,,,
41,I2,21/09/97,Verona,Cagliari,2,1,H,,,,,,,,,,,,,,,,,,,,,
42,I2,28/09/97,Ancona,Venezia,0,1,A,,,,,,,,,,,,,,,,,,,,,
43,I2,28/09/97,C. Sangro,Ravenna,2,1,H,,,,,,,,,,,,,,,,,,,,,
44,I2,28/09/97,Cagliari,Foggia,1,1,D,,,,,,,,,,,,,,,,,,,,,
45,I2,28/09/97,Chievo,Reggiana,1,0,H,,,,,,,,,,,,,,,,,,,,,
46,I2,28/09/97,F. Andria,Lucchese,3,0,H,,,,,,,,,,,,,,,,,,,,,
47,I2,28/09/97,Padova,Salernitana,0,0,D,,,,,,,,,,,,,,,,,,,,,
48,I2,28/09/97,Perugia,Treviso,2,1,H,,,,,,,,,,,,,,,,,,,,,
49,I2,28/09/97,Pescara,Verona,1,1,D,,,,,,,,,,,,,,,,,,,,,
50,I2,28/09/97,Reggina,Monza,1,0,H,,,,,,,,,,,,,,,,,,,,,
51,I2,28/09/97,Torino,Genoa,2,1,H,,,,,,,,,,,,,,,,,,,,,
52,I2,05/10/97,Ancona,Reggina,2,3,A,,,,,,,,,,,,,,,,,,,,,
53,I2,05/10/97,Foggia,Pescara,1,0,H,,,,,,,,,,,,,,,,,,,,,
54,I2,05/10/97,Genoa,Cagliari,1,3,A,,,,,,,,,,,,,,,,,,,,,
55,I2,05/10/97,Lucchese,C. Sangro,1,0,H,,,,,,,,,,,,,,,,,,,,,
56,I2,05/10/97,Monza,F. Andria,1,1,D,,,,,,,,,,,,,,,,,,,,,
57,I2,05/10/97,Ravenna,Chievo,2,0,H,,,,,,,,,,,,,,,,,,,,,
58,I2,05/10/97,Reggiana,Treviso,1,0,H,,,,,,,,,,,,,,,,,,,,,
59,I2,05/10/97,Salernitana,Perugia,2,0,H,,,,,,,,,,,,,,,,,,,,,
60,I2,05/10/97,Venezia,Padova,3,0,H,,,,,,,,,,,,,,,,,,,,,
61,I2,05/10/97,Verona,Torino,4,0,H,,,,,,,,,,,,,,,,,,,,,
62,I2,12/10/97,C. Sangro,Salernitana,3,5,A,,,,,,,,,,,,,,,,,,,,,
63,I2,12/10/97,Cagliari,Monza,2,2,D,,,,,,,,,,,,,,,,,,,,,
64,I2,12/10/97,F. Andria,Ancona,1,1,D,,,,,,,,,,,,,,,,,,,,,
65,I2,12/10/97,Genoa,Foggia,3,2,H,,,,,,,,,,,,,,,,,,,,,
66,I2,12/10/97,Padova,Reggiana,0,0,D,,,,,,,,,,,,,,,,,,,,,
67,I2,12/10/97,Pescara,Lucchese,2,1,H,,,,,,,,,,,,,,,,,,,,,
68,I2,12/10/97,Reggina,Perugia,0,1,A,,,,,,,,,,,,,,,,,,,,,
69,I2,12/10/97,Torino,Venezia,0,4,A,,,,,,,,,,,,,,,,,,,,,
70,I2,12/10/97,Treviso,Ravenna,3,0,H,,,,,,,,,,,,,,,,,,,,,
71,I2,12/10/97,Verona,Chievo,4,0,H,,,,,,,,,,,,,,,,,,,,,
72,I2,19/10/97,Ancona,Treviso,4,4,D,,,,,,,,,,,,,,,,,,,,,
73,I2,19/10/97,Chievo,C. Sangro,1,1,D,,,,,,,,,,,,,,,,,,,,,
74,I2,19/10/97,Foggia,F. Andria,2,1,H,,,,,,,,,,,,,,,,,,,,,
75,I2,19/10/97,Lucchese,Reggina,0,1,A,,,,,,,,,,,,,,,,,,,,,
76,I2,19/10/97,Monza,Torino,1,1,D,,,,,,,,,,,,,,,,,,,,,
77,I2,19/10/97,Perugia,Padova,1,3,A,,,,,,,,,,,,,,,,,,,,,
78,I2,19/10/97,Ravenna,Cagliari,0,0,D,,,,,,,,,,,,,,,,,,,,,
79,I2,19/10/97,Reggiana,Genoa,0,1,A,,,,,,,,,,,,,,,,,,,,,
80,I2,19/10/97,Salernitana,Pescara,5,1,H,,,,,,,,,,,,,,,,,,,,,
81,I2,19/10/97,Venezia,Verona,1,0,H,,,,,,,,,,,,,,,,,,,,,
82,I2,26/10/97,Cagliari,Salernitana,1,1,D,,,,,,,,,,,,,,,,,,,,,
83,I2,26/10/97,F. Andria,Torino,0,2,A,,,,,,,,,,,,,,,,,,,,,
84,I2,26/10/97,Lucchese,Reggiana,2,1,H,,,,,,,,,,,,,,,,,,,,,
85,I2,26/10/97,Monza,C. Sangro,2,2,D,,,,,,,,,,,,,,,,,,,,,
86,I2,26/10/97,Padova,Chievo,3,2,H,,,,,,,,,,,,,,,,,,,,,
87,I2,26/10/97,Perugia,Ancona,1,1,D,,,,,,,,,,,,,,,,,,,,,
88,I2,26/10/97,Pescara,Genoa,1,0,H,,,,,,,,,,,,,,,,,,,,,
89,I2,26/10/97,Reggina,Ravenna,1,0,H,,,,,,,,,,,,,,,,,,,,,
90,I2,26/10/97,Treviso,Venezia,1,1,D,,,,,,,,,,,,,,,,,,,,,
91,I2,26/10/97,Verona,Foggia,3,2,H,,,,,,,,,,,,,,,,,,,,,
92,I2,09/11/97,Ancona,Verona,0,0,D,,,,,,,,,,,,,,,,,,,,,
93,I2,09/11/97,C. Sangro,Reggina,1,1,D,,,,,,,,,,,,,,,,,,,,,
94,I2,09/11/97,Chievo,Monza,1,1,D,,,,,,,,,,,,,,,,,,,,,
95,I2,09/11/97,Foggia,Treviso,0,0,D,,,,,,,,,,,,,,,,,,,,,
96,I2,09/11/97,Genoa,F. Andria,2,1,H,,,,,,,,,,,,,,,,,,,,,
97,I2,09/11/97,Ravenna,Padova,1,0,H,,,,,,,,,,,,,,,,,,,,,
98,I2,09/11/97,Reggiana,Perugia,2,0,H,,,,,,,,,,,,,,,,,,,,,
99,I2,09/11/97,Salernitana,Lucchese,1,1,D,,,,,,,,,,,,,,,,,,,,,
100,I2,09/11/97,Torino,Cagliari,3,0,H,,,,,,,,,,,,,,,,,,,,,
101,I2,09/11/97,Venezia,Pescara,3,0,H,,,,,,,,,,,,,,,,,,,,,
102,I2,16/11/97,Cagliari,F. Andria,3,0,H,,,,,,,,,,,,,,,,,,,,,
103,I2,16/11/97,Lucchese,Chievo,1,2,A,,,,,,,,,,,,,,,,,,,,,
104,I2,16/11/97,Monza,Foggia,1,1,D,,,,,,,,,,,,,,,,,,,,,
105,I2,16/11/97,Padova,Ancona,0,1,A,,,,,,,,,,,,,,,,,,,,,
106,I2,16/11/97,Perugia,C. Sangro,1,0,H,,,,,,,,,,,,,,,,,,,,,
107,I2,16/11/97,Reggiana,Venezia,2,0,H,,,,,,,,,,,,,,,,,,,,,
108,I2,16/11/97,Reggina,Torino,2,2,D,,,,,,,,,,,,,,,,,,,,,
109,I2,16/11/97,Salernitana,Ravenna,1,0,H,,,,,,,,,,,,,,,,,,,,,
110,I2,16/11/97,Treviso,Pescara,2,1,H,,,,,,,,,,,,,,,,,,,,,
111,I2,16/11/97,Verona,Genoa,4,0,H,,,,,,,,,,,,,,,,,,,,,
112,I2,30/11/97,Ancona,Salernitana,3,3,D,,,,,,,,,,,,,,,,,,,,,
113,I2,30/11/97,C. Sangro,Reggiana,2,2,D,,,,,,,,,,,,,,,,,,,,,
114,I2,30/11/97,Cagliari,Reggina,2,0,H,,,,,,,,,,,,,,,,,,,,,
115,I2,30/11/97,Chievo,Perugia,1,1,D,,,,,,,,,,,,,,,,,,,,,
116,I2,30/11/97,F. Andria,Verona,1,0,H,,,,,,,,,,,,,,,,,,,,,
117,I2,30/11/97,Foggia,Lucchese,2,2,D,,,,,,,,,,,,,,,,,,,,,
118,I2,30/11/97,Genoa,Monza,5,1,H,,,,,,,,,,,,,,,,,,,,,
119,I2,30/11/97,Pescara,Padova,4,0,H,,,,,,,,,,,,,,,,,,,,,
120,I2,30/11/97,Torino,Treviso,4,0,H,,,,,,,,,,,,,,,,,,,,,
121,I2,30/11/97,Venezia,Ravenna,2,1,H,,,,,,,,,,,,,,,,,,,,,
122,I2,07/12/97,C. Sangro,Pescara,1,1,D,,,,,,,,,,,,,,,,,,,,,
123,I2,07/12/97,Chievo,Venezia,1,1,D,,,,,,,,,,,,,,,,,,,,,
124,I2,07/12/97,Lucchese,Monza,0,0,D,,,,,,,,,,,,,,,,,,,,,
125,I2,07/12/97,Padova,Foggia,3,0,H,,,,,,,,,,,,,,,,,,,,,
126,I2,07/12/97,Perugia,Cagliari,1,1,D,,,,,,,,,,,,,,,,,,,,,
127,I2,07/12/97,Ravenna,Torino,1,1,D,,,,,,,,,,,,,,,,,,,,,
128,I2,07/12/97,Reggiana,Ancona,1,0,H,,,,,,,,,,,,,,,,,,,,,
129,I2,07/12/97,Reggina,F. Andria,2,3,A,,,,,,,,,,,,,,,,,,,,,
130,I2,07/12/97,Salernitana,Genoa,2,1,H,,,,,,,,,,,,,,,,,,,,,
131,I2,07/12/97,Treviso,Verona,1,0,H,,,,,,,,,,,,,,,,,,,,,
132,I2,14/12/97,Ancona,Lucchese,0,1,A,,,,,,,,,,,,,,,,,,,,,
133,I2,14/12/97,Cagliari,Reggiana,0,0,D,,,,,,,,,,,,,,,,,,,,,
134,I2,14/12/97,F. Andria,Treviso,0,0,D,,,,,,,,,,,,,,,,,,,,,
135,I2,14/12/97,Foggia,Chievo,0,1,A,,,,,,,,,,,,,,,,,,,,,
136,I2,14/12/97,Genoa,Reggina,0,0,D,,,,,,,,,,,,,,,,,,,,,
137,I2,14/12/97,Monza,Padova,2,0,H,,,,,,,,,,,,,,,,,,,,,
138,I2,14/12/97,Pescara,Ravenna,1,1,D,,,,,,,,,,,,,,,,,,,,,
139,I2,14/12/97,Torino,C. Sangro,4,1,H,,,,,,,,,,,,,,,,,,,,,
140,I2,14/12/97,Venezia,Salernitana,0,3,A,,,,,,,,,,,,,,,,,,,,,
141,I2,14/12/97,Verona,Perugia,0,1,A,,,,,,,,,,,,,,,,,,,,,
142,I2,21/12/97,C. Sangro,Venezia,1,3,A,,,,,,,,,,,,,,,,,,,,,
143,I2,21/12/97,Chievo,Ancona,0,1,A,,,,,,,,,,,,,,,,,,,,,
144,I2,21/12/97,Lucchese,Cagliari,1,2,A,,,,,,,,,,,,,,,,,,,,,
145,I2,21/12/97,Padova,F. Andria,0,0,D,,,,,,,,,,,,,,,,,,,,,
146,I2,21/12/97,Perugia,Foggia,2,2,D,,,,,,,,,,,,,,,,,,,,,
147,I2,21/12/97,Ravenna,Monza,1,1,D,,,,,,,,,,,,,,,,,,,,,
148,I2,21/12/97,Reggiana,Verona,0,1,A,,,,,,,,,,,,,,,,,,,,,
149,I2,21/12/97,Reggina,Pescara,0,0,D,,,,,,,,,,,,,,,,,,,,,
150,I2,21/12/97,Salernitana,Torino,2,1,H,,,,,,,,,,,,,,,,,,,,,
151,I2,21/12/97,Treviso,Genoa,2,1,H,,,,,,,,,,,,,,,,,,,,,
152,I2,04/01/98,Cagliari,Padova,1,0,H,,,,,,,,,,,,,,,,,,,,,
153,I2,04/01/98,F. Andria,Ravenna,0,0,D,,,,,,,,,,,,,,,,,,,,,
154,I2,04/01/98,Foggia,C. Sangro,2,0,H,,,,,,,,,,,,,,,,,,,,,
155,I2,04/01/98,Genoa,Perugia,2,0,H,,,,,,,,,,,,,,,,,,,,,
