Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
2,SP1,25/08/01,Valencia,Real Madrid,1,0,H,1,0,H,,,,2.4,2.9,2.4,,,,,,,2.6,3,2.5,2.75,3.1,2.3
3,SP1,26/08/01,La Coruna,Valladolid,4,0,H,1,0,H,,,,1.35,3.8,6.2,1.25,4.5,10,,,,1.33,4.33,7,1.3,4.2,8.5
4,SP1,26/08/01,Espanol,Zaragoza,2,1,H,1,1,D,,,,1.85,2.9,3.4,1.73,3.4,4,,,,1.91,3.2,3.5,1.83,3.4,3.5
5,SP1,26/08/01,Malaga,Betis,3,2,H,1,1,D,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.83,3.2,3.75,1.8,3.4,3.6
6,SP1,26/08/01,Mallorca,Las Palmas,0,3,A,0,1,A,,,,1.45,3.5,5,1.5,3.4,6,,,,1.44,3.6,6.5,1.44,3.5,7
7,SP1,26/08/01,Osasuna,Celta,0,3,A,0,1,A,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.6,3.2,2.38,,,
8,SP1,26/08/01,Sociedad,Ath Bilbao,1,3,A,1,1,D,,,,2.1,2.9,2.9,2.1,3.2,3,,,,2.2,3,3,2.2,3.2,2.8
9,SP1,26/08/01,Vallecano,Villarreal,1,2,A,1,2,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.2,2.8,2.25,3.2,2.75
10,SP1,26/08/01,Sevilla,Barcelona,1,2,A,0,1,A,,,,3.2,2.9,1.9,3.4,3.25,1.91,,,,3.75,3.25,1.8,3.75,3.2,1.83
11,SP1,26/08/01,Tenerife,Alaves,0,2,A,0,1,A,,,,2.1,2.9,2.9,2.4,3.25,2.5,,,,2.38,3.2,2.6,2.25,3.2,2.75
