Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
2,SP2,25/08/01,Ath Madrid,Jaen,2,0,H,0,0,D,,,,1.3,4,7,1.44,3.5,7,1.4,3.6,7
3,SP2,25/08/01,Poli Ejido,Burgos,0,1,A,0,0,D,,,,2,2.9,3,,,,2.1,3.3,2.8
4,SP2,25/08/01,Elche,Ferrol,0,0,D,0,0,D,,,,2.1,2.8,3,2.2,3,3,2.2,2.75,3.15
5,SP2,25/08/01,Gimnastic,Santander,0,0,D,0,0,D,,,,2.7,2.9,2.2,,,,,,
6,SP2,26/08/01,Albacete,Levante,3,0,H,0,0,D,,,,1.65,2.8,4.4,1.8,3.1,4,2,2.8,3.6
7,SP2,26/08/01,Badajoz,Recreativo,1,0,H,0,0,D,,,,2.3,2.6,2.8,2.2,2.88,3.1,2.5,2.7,2.75
8,SP2,26/08/01,Cordoba,Leganes,1,1,D,0,1,A,,,,1.75,2.9,3.8,1.8,3.1,4,1.9,3,3.6
9,SP2,26/08/01,Murcia,Eibar,0,0,D,0,0,D,,,,1.8,2.8,3.7,1.91,3,3.75,2,2.85,3.5
10,SP2,26/08/01,Numancia,Salamanca,2,2,D,2,0,H,,,,1.7,2.9,4,1.73,3.2,4.33,1.7,3.1,4.5
11,SP2,26/08/01,Oviedo,Extremadura,1,1,D,0,0,D,,,,1.65,2.9,4.2,1.67,3.25,4.5,1.65,3.2,4.6
12,SP2,26/08/01,Xerez,Sp Gijon,1,0,H,0,0,D,,,,2.6,2.8,2.3,,,,2.55,2.85,2.55
13,SP2,01/09/01,Eibar,Ath Madrid,0,3,A,0,2,A,,,,3,2.8,2.1,3.25,2.9,2.1,,,
14,SP2,01/09/01,Ferrol,Murcia,2,0,H,1,0,H,,,,2.1,2.8,3,2,3,3.4,2.1,2.75,3.4
15,SP2,02/09/01,Burgos,Gimnastic,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.91,3.1,3.6,1.8,2.9,4.2
16,SP2,02/09/01,Extremadura,Xerez,0,1,A,0,1,A,,,,1.6,3,4.4,1.62,3.25,5,1.75,2.95,4.5
17,SP2,02/09/01,Jaen,Poli Ejido,3,1,H,1,0,H,,,,1.6,3,4.4,,,,1.7,3.1,4.4
18,SP2,02/09/01,Leganes,Elche,0,0,D,0,0,D,,,,1.9,2.8,3.3,1.91,3,3.75,2.1,2.75,3.4
19,SP2,02/09/01,Levante,Cordoba,3,1,H,2,1,H,,,,1.9,2.8,3.3,1.91,3,3.75,2,2.85,3.5
20,SP2,02/09/01,Santander,Oviedo,1,1,D,1,0,H,,,,1.85,2.9,3.4,1.91,3.1,3.6,1.9,2.9,3.75
21,SP2,02/09/01,Recreativo,Numancia,1,0,H,0,0,D,,,,2.3,2.7,2.7,2.25,2.8,3.1,2.35,2.7,2.95
22,SP2,02/09/01,Salamanca,Albacete,2,0,H,2,0,H,,,,2,2.8,3.1,2,2.9,3.5,2,2.85,3.5
23,SP2,02/09/01,Sp Gijon,Badajoz,3,0,H,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.8,2.9,4.2
24,SP2,08/09/01,Albacete,Recreativo,0,0,D,0,0,D,,,,1.8,2.9,3.7,1.91,3.2,3.5,1.9,2.9,3.75
25,SP2,08/09/01,Ath Madrid,Ferrol,1,1,D,0,1,A,,,,1.4,3.4,5.8,1.4,3.75,7,1.35,3.75,7.5
26,SP2,08/09/01,Elche,Levante,2,2,D,1,1,D,,,,2.2,2.8,2.8,2.25,3,2.88,2.25,2.8,3
27,SP2,08/09/01,Gimnastic,Jaen,0,2,A,0,0,D,,,,2.1,2.8,3,,,,2.4,2.8,2.75
28,SP2,08/09/01,Xerez,Badajoz,2,0,H,0,0,D,,,,,,,,,,,,
29,SP2,09/09/01,Cordoba,Salamanca,4,2,H,0,0,D,,,,2.3,2.8,2.6,2.25,2.88,3,2.2,2.9,2.95
30,SP2,09/09/01,Poli Ejido,Eibar,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.2,3,3,2.25,3,2.8
31,SP2,09/09/01,Extremadura,Santander,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.38,2.9,2.75,2.35,2.85,2.75
32,SP2,09/09/01,Murcia,Leganes,0,0,D,0,0,D,,,,2,2.7,3.3,1.91,3,3.75,2,2.8,3.6
33,SP2,09/09/01,Numancia,Sp Gijon,3,1,H,1,0,H,,,,1.8,2.9,3.7,1.83,3,4,1.8,3,4
34,SP2,09/09/01,Oviedo,Burgos,2,0,H,1,0,H,,,,1.65,2.9,4.2,1.53,3.5,5.5,1.6,3.3,4.75
35,SP2,15/09/01,Ferrol,Poli Ejido,2,1,H,0,1,A,,,,,,,,,,,,
36,SP2,15/09/01,Recreativo,Cordoba,2,1,H,0,0,D,,,,1.8,2.8,3.8,1.8,3.1,4,1.8,2.9,4.2
37,SP2,15/09/01,Salamanca,Elche,1,0,H,0,0,D,,,,1.75,2.8,4,1.67,3.25,4.5,1.75,3,4.3
38,SP2,16/09/01,Badajoz,Numancia,0,0,D,0,0,D,,,,2.3,2.7,2.7,2.38,2.88,2.8,2.5,2.8,2.6
39,SP2,16/09/01,Burgos,Extremadura,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.1,3,3.2,2.1,2.85,3.2
40,SP2,16/09/01,Eibar,Gimnastic,3,1,H,2,1,H,,,,1.8,2.8,3.8,1.8,3.1,4,,,
41,SP2,16/09/01,Jaen,Oviedo,1,3,A,1,1,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.4,2.8,2.75
42,SP2,16/09/01,Leganes,Ath Madrid,0,3,A,0,2,A,,,,3,2.8,2.1,3.3,2.9,2.1,3.2,2.85,2.1
43,SP2,16/09/01,Levante,Murcia,0,0,D,0,0,D,,,,1.8,2.8,3.8,1.73,3.2,4.33,1.85,2.85,4
44,SP2,16/09/01,Santander,Xerez,1,0,H,1,0,H,,,,1.8,2.9,3.6,1.83,3,4,1.8,2.9,4.2
45,SP2,16/09/01,Sp Gijon,Albacete,0,0,D,0,0,D,,,,2.1,2.8,3,1.91,3.1,3.6,2.1,2.7,3.4
46,SP2,22/09/01,Ath Madrid,Levante,2,1,H,1,1,D,,,,1.45,3.2,5.5,,,,1.45,3.35,6.5
47,SP2,22/09/01,Extremadura,Jaen,5,0,H,2,0,H,,,,2,2.8,3.1,,,,2,2.85,3.45
48,SP2,23/09/01,Albacete,Badajoz,2,0,H,1,0,H,,,,1.8,2.7,3.9,,,,1.75,3,4.2
49,SP2,23/09/01,Cordoba,Sp Gijon,1,2,A,1,2,A,,,,2.2,2.7,2.9,,,,2.15,2.85,3.05
50,SP2,23/09/01,Poli Ejido,Leganes,1,1,D,0,0,D,,,,2.3,2.7,2.7,,,,2.25,2.75,3
51,SP2,23/09/01,Elche,Recreativo,1,1,D,1,0,H,,,,2.5,2.7,2.5,,,,2.5,2.85,2.55
52,SP2,23/09/01,Murcia,Salamanca,3,3,D,2,2,D,,,,2.5,2.7,2.5,,,,2.45,2.75,2.7
53,SP2,23/09/01,Oviedo,Eibar,1,0,H,0,0,D,,,,1.55,3,5,,,,1.55,3.15,5.5
54,SP2,23/09/01,Santander,Burgos,0,2,A,0,0,D,,,,1.75,3.1,3.6,,,,1.75,3.05,4.1
55,SP2,23/09/01,Xerez,Numancia,2,1,H,0,1,A,,,,2.2,2.8,2.8,,,,2.2,2.8,3
56,SP2,29/09/01,Badajoz,Cordoba,0,1,A,0,1,A,,,,2.1,2.7,3.1,2,2.88,3.6,2.2,2.7,3.2
57,SP2,29/09/01,Eibar,Extremadura,0,0,D,0,0,D,,,,2.2,2.8,2.8,2.25,3,2.88,2.2,2.9,3
58,SP2,29/09/01,Jaen,Santander,0,0,D,0,0,D,,,,2.3,2.8,2.6,2.38,2.88,2.8,2.25,2.85,2.9
59,SP2,29/09/01,Leganes,Gimnastic,2,1,H,2,0,H,,,,,,,1.83,3,4,1.75,3,4.3
60,SP2,29/09/01,Numancia,Albacete,1,0,H,1,0,H,,,,1.9,2.9,3.2,1.8,3.1,4,1.8,3,4
61,SP2,29/09/01,Recreativo,Murcia,0,1,A,0,1,A,,,,1.7,2.9,4,1.67,3.1,5,1.65,3.1,4.75
62,SP2,29/09/01,Salamanca,Ath Madrid,0,0,D,0,0,D,,,,2.5,2.8,2.4,2.62,2.88,2.5,2.6,2.85,2.5
63,SP2,29/09/01,Sp Gijon,Elche,0,1,A,0,0,D,,,,1.7,2.9,4,1.73,3.1,4.5,1.7,3.1,4.5
64,SP2,30/09/01,Burgos,Xerez,3,1,H,1,1,D,,,,2.1,2.8,3,1.91,3,3.75,2.1,2.8,3.3
65,SP2,30/09/01,Levante,Poli Ejido,0,0,D,0,0,D,,,,1.6,3,4.5,1.53,3.3,6,1.65,3,5
66,SP2,30/09/01,Ferrol,Oviedo,0,2,A,0,0,D,,,,2.45,2.7,2.55,2.5,2.88,2.62,2.5,2.75,2.7
67,SP2,02/10/01,Ath Madrid,Recreativo,1,1,D,0,1,A,,,,1.5,3.2,5,,,,,,
68,SP2,03/10/01,Burgos,Jaen,0,0,D,0,0,D,,,,1.75,3,3.7,,,,1.72,2.87,4.75
69,SP2,03/10/01,Cordoba,Numancia,1,0,H,1,0,H,,,,2.2,2.8,2.8,,,,2.37,2.8,2.8
70,SP2,03/10/01,Poli Ejido,Salamanca,2,5,A,1,1,D,,,,2.8,2.8,2.2,,,,2.6,2.9,2.45
71,SP2,03/10/01,Elche,Badajoz,1,0,H,0,0,D,,,,1.9,2.8,3.3,,,,2,3,3.25
72,SP2,03/10/01,Extremadura,Ferrol,1,2,A,1,0,H,,,,1.8,2.8,3.7,,,,1.8,3,4
73,SP2,03/10/01,Gimnastic,Levante,1,0,H,0,0,D,,,,2.5,2.7,2.5,,,,2.5,2.9,2.5
74,SP2,03/10/01,Murcia,Sp Gijon,3,1,H,1,0,H,,,,2.3,2.7,2.7,,,,2.25,2.87,2.87
75,SP2,03/10/01,Oviedo,Leganes,0,0,D,0,0,D,,,,1.5,3.2,5,,,,1.53,3.25,5.5
76,SP2,03/10/01,Santander,Eibar,1,1,D,1,0,H,,,,1.75,2.9,3.8,,,,1.72,2.87,4.75
77,SP2,03/10/01,Xerez,Albacete,1,2,A,0,1,A,,,,2,2.8,3.1,,,,1.8,3,4
78,SP2,06/10/01,Jaen,Xerez,0,2,A,0,1,A,,,,2.1,2.8,3,2,3,3.4,2.35,2.8,2.8
79,SP2,06/10/01,Levante,Oviedo,0,0,D,0,0,D,,,,2.45,2.8,2.45,2.4,2.88,2.75,2.5,2.8,2.65
80,SP2,07/10/01,Albacete,Cordoba,0,0,D,0,0,D,,,,1.75,2.9,3.8,1.73,3.2,4.33,1.85,2.95,3.85
81,SP2,07/10/01,Badajoz,Murcia,1,1,D,0,1,A,,,,2.1,2.8,3,2.1,2.88,3.3,2.2,2.75,3.15
82,SP2,07/10/01,Eibar,Burgos,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.2,3,3,2.6,2.7,2.6
83,SP2,07/10/01,Leganes,Extremadura,2,0,H,1,0,H,,,,2.3,2.7,2.7,2.25,2.88,3,2.45,2.75,2.75
84,SP2,07/10/01,Numancia,Elche,1,1,D,0,0,D,,,,1.7,2.9,4,1.8,3,4.33,1.7,3.05,4.5
85,SP2,07/10/01,Ferrol,Santander,2,0,H,1,0,H,,,,2.2,2.7,2.7,2.25,2.88,3,2.3,2.7,3
86,SP2,07/10/01,Recreativo,Poli Ejido,1,0,H,1,0,H,,,,1.55,3.1,4.8,1.44,3.5,7,1.6,3,5.5
87,SP2,07/10/01,Salamanca,Gimnastic,3,3,D,1,3,A,,,,1.45,3.3,5.5,1.4,3.75,7,1.55,3.05,6
88,SP2,07/10/01,Sp Gijon,Ath Madrid,2,1,H,1,0,H,,,,2.6,2.7,2.4,2.62,2.88,2.5,2.75,2.85,2.35
89,SP2,13/10/01,Santander,Leganes,3,1,H,1,0,H,,,,,,,1.8,3,4.33,1.9,2.85,3.85
90,SP2,13/10/01,Xerez,Cordoba,1,0,H,0,0,D,,,,,,,1.8,3.1,4,2,2.9,3.4
91,SP2,14/10/01,Ath Madrid,Badajoz,1,0,H,0,0,D,,,,1.4,3.4,6,1.4,3.75,7,1.4,3.5,7.5
92,SP2,14/10/01,Burgos,Ferrol,2,4,A,1,2,A,,,,1.9,2.8,3.4,1.83,3,4,1.95,2.9,3.6
93,SP2,14/10/01,Poli Ejido,Sp Gijon,2,2,D,0,1,A,,,,2.6,2.8,2.3,2.75,2.88,2.4,2.6,2.7,2.6
94,SP2,14/10/01,Elche,Albacete,1,0,H,1,0,H,,,,2.3,2.8,2.6,2.4,2.88,2.75,2.4,2.75,2.8
95,SP2,14/10/01,Extremadura,Levante,1,0,H,1,0,H,,,,1.9,2.8,3.4,2,3,3.4,1.95,2.9,3.6
96,SP2,14/10/01,Gimnastic,Recreativo,1,2,A,0,2,A,,,,2.6,2.7,2.4,,,,,,
97,SP2,14/10/01,Jaen,Eibar,0,0,D,0,0,D,,,,2,2.8,3.1,2,3,3.4,2,2.9,3.4
