Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,SP1,05/09/93,Ath Bilbao,Albacete,4,1,H,,,,,,,,,,,,,,,,,,,,,
3,SP1,05/09/93,Ath Madrid,Logrones,1,0,H,,,,,,,,,,,,,,,,,,,,,
4,SP1,05/09/93,Barcelona,Sociedad,3,0,H,,,,,,,,,,,,,,,,,,,,,
5,SP1,05/09/93,La Coruna,Celta,0,0,D,,,,,,,,,,,,,,,,,,,,,
6,SP1,05/09/93,Osasuna,Real Madrid,1,4,A,,,,,,,,,,,,,,,,,,,,,
7,SP1,05/09/93,Oviedo,Valencia,0,3,A,,,,,,,,,,,,,,,,,,,,,
8,SP1,05/09/93,Santander,Vallecano,1,0,H,,,,,,,,,,,,,,,,,,,,,
9,SP1,05/09/93,Tenerife,Lerida,1,0,H,,,,,,,,,,,,,,,,,,,,,
10,SP1,05/09/93,Valladolid,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,,,,,,
11,SP1,05/09/93,Zaragoza,Sevilla,1,2,A,,,,,,,,,,,,,,,,,,,,,
12,SP1,12/09/93,Albacete,Barcelona,0,0,D,,,,,,,,,,,,,,,,,,,,,
13,SP1,12/09/93,Celta,Oviedo,1,1,D,,,,,,,,,,,,,,,,,,,,,
14,SP1,12/09/93,Lerida,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,,,,,,
15,SP1,12/09/93,Logrones,Santander,0,1,A,,,,,,,,,,,,,,,,,,,,,
16,SP1,12/09/93,Real Madrid,Valladolid,1,3,A,,,,,,,,,,,,,,,,,,,,,
17,SP1,12/09/93,Sevilla,Osasuna,1,1,D,,,,,,,,,,,,,,,,,,,,,
18,SP1,12/09/93,Sociedad,Zaragoza,2,2,D,,,,,,,,,,,,,,,,,,,,,
19,SP1,12/09/93,Sp Gijon,La Coruna,0,2,A,,,,,,,,,,,,,,,,,,,,,
20,SP1,12/09/93,Valencia,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,,,,,,
21,SP1,12/09/93,Vallecano,Tenerife,4,3,H,,,,,,,,,,,,,,,,,,,,,
22,SP1,19/09/93,Ath Bilbao,Barcelona,0,0,D,,,,,,,,,,,,,,,,,,,,,
23,SP1,19/09/93,Ath Madrid,Celta,3,2,H,,,,,,,,,,,,,,,,,,,,,
24,SP1,19/09/93,La Coruna,Real Madrid,4,0,H,,,,,,,,,,,,,,,,,,,,,
25,SP1,19/09/93,Lerida,Vallecano,0,1,A,,,,,,,,,,,,,,,,,,,,,
26,SP1,19/09/93,Osasuna,Sociedad,0,2,A,,,,,,,,,,,,,,,,,,,,,
27,SP1,19/09/93,Oviedo,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,,,,,,
28,SP1,19/09/93,Santander,Valencia,0,1,A,,,,,,,,,,,,,,,,,,,,,
29,SP1,19/09/93,Tenerife,Logrones,2,0,H,,,,,,,,,,,,,,,,,,,,,
30,SP1,19/09/93,Valladolid,Sevilla,2,2,D,,,,,,,,,,,,,,,,,,,,,
31,SP1,19/09/93,Zaragoza,Albacete,1,1,D,,,,,,,,,,,,,,,,,,,,,
32,SP1,26/09/93,Albacete,Osasuna,2,1,H,,,,,,,,,,,,,,,,,,,,,
33,SP1,26/09/93,Barcelona,Zaragoza,4,1,H,,,,,,,,,,,,,,,,,,,,,
34,SP1,26/09/93,Celta,Santander,0,0,D,,,,,,,,,,,,,,,,,,,,,
35,SP1,26/09/93,Logrones,Lerida,2,1,H,,,,,,,,,,,,,,,,,,,,,
36,SP1,26/09/93,Real Madrid,Oviedo,0,1,A,,,,,,,,,,,,,,,,,,,,,
37,SP1,26/09/93,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,,,,,,
38,SP1,26/09/93,Sociedad,Valladolid,1,0,H,,,,,,,,,,,,,,,,,,,,,
39,SP1,26/09/93,Sp Gijon,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,,,,,,
40,SP1,26/09/93,Valencia,Tenerife,3,2,H,,,,,,,,,,,,,,,,,,,,,
41,SP1,26/09/93,Vallecano,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,,,,,,
42,SP1,03/10/93,Ath Bilbao,Zaragoza,2,1,H,,,,,,,,,,,,,,,,,,,,,
