Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,SP2,30/08/97,Leganes,Eibar,1,0,H,1,0,H,,,,,,,,,,,
3,SP2,30/08/97,Levante,Toledo,0,1,A,0,0,D,,,,,,,,,,,
4,SP2,30/08/97,Sevilla,Lleida,5,1,H,3,1,H,,,,,,,,,,,
5,SP2,31/08/97,Alaves,Albacete,5,1,H,2,0,H,,,,,,,,,,,
6,SP2,31/08/97,Ath Madrid B,Las Palmas,1,1,D,1,0,H,,,,,,,,,,,
7,SP2,31/08/97,Badajoz,Jaen,1,1,D,0,0,D,,,,,,,,,,,
8,SP2,31/08/97,Extremadura,Xerez,1,0,H,0,0,D,,,,,,,,,,,
9,SP2,31/08/97,Hercules,Vallecano,0,0,D,0,0,D,,,,,,,,,,,
10,SP2,31/08/97,Logrones,Orense,0,1,A,0,1,A,,,,,,,,,,,
11,SP2,31/08/97,Numancia,Elche,2,1,H,1,1,D,,,,,,,,,,,
12,SP2,31/08/97,Osasuna,Villarreal,0,1,A,0,0,D,,,,,,,,,,,
13,SP2,06/09/97,Albacete,Levante,3,0,H,1,0,H,,,,,,,,,,,
14,SP2,06/09/97,Eibar,Alaves,2,1,H,0,0,D,,,,,,,,,,,
15,SP2,06/09/97,Las Palmas,Leganes,1,1,D,1,1,D,,,,,,,,,,,
16,SP2,06/09/97,Lleida,Ath Madrid B,0,2,A,0,1,A,,,,,,,,,,,
17,SP2,06/09/97,Villarreal,Hercules,2,1,H,2,1,H,,,,,,,,,,,
18,SP2,07/09/97,Elche,Extremadura,0,1,A,0,1,A,,,,,,,,,,,
19,SP2,07/09/97,Jaen,Logrones,1,1,D,0,0,D,,,,,,,,,,,
20,SP2,07/09/97,Orense,Sevilla,0,1,A,0,0,D,,,,,,,,,,,
21,SP2,07/09/97,Toledo,Osasuna,1,0,H,0,0,D,,,,,,,,,,,
22,SP2,07/09/97,Vallecano,Numancia,2,0,H,1,0,H,,,,,,,,,,,
23,SP2,07/09/97,Xerez,Badajoz,0,0,D,0,0,D,,,,,,,,,,,
24,SP2,13/09/97,Ath Madrid B,Orense,1,0,H,1,0,H,,,,,,,,,,,
